iter	MultiClass
0	0.9791405613
1	0.8998569337
2	0.8237347737
3	0.7627253437
4	0.7048192425
5	0.6568314616
6	0.6170860332
7	0.5803899287
8	0.5539636908
9	0.5262914758
10	0.5021168813
11	0.4831321147
12	0.4721247408
13	0.4592704846
14	0.4445508992
15	0.4313783245
16	0.4210090941
17	0.4087057387
18	0.4027908852
19	0.3973241465
20	0.3969505669
21	0.387692557
22	0.382344702
23	0.3796937627
24	0.3763547126
25	0.3755944374
26	0.3749825425
27	0.3721748573
28	0.3671650821
29	0.3626650751
30	0.3549403104
31	0.3539695255
32	0.350813144
33	0.346790264
34	0.3449352383
35	0.3429468266
36	0.3409034458
37	0.3404066892
38	0.3364191875
39	0.3354102958
40	0.3352835873
41	0.3327743952
42	0.329361481
43	0.3273991534
44	0.3259291368
45	0.3247735482
46	0.3218718859
47	0.3180095056
48	0.3149879661
49	0.31227172
50	0.3082642517
51	0.3049943075
52	0.3033602335
53	0.3016068966
54	0.2993678937
55	0.2973082977
56	0.2959133383
57	0.2926663057
58	0.2909170322
59	0.2889512093
60	0.2868570988
61	0.2846331576
62	0.2830446448
63	0.2810068218
64	0.2786715178
65	0.2755210798
66	0.2741740399
67	0.2724310655
68	0.2705603442
69	0.2698876174
70	0.2682262632
71	0.2649526414
72	0.2643652594
73	0.2623101656
74	0.2592326518
75	0.2572236753
76	0.2556992421
77	0.2537932405
78	0.2528753066
79	0.2517501664
80	0.2494457634
81	0.2484213943
82	0.2475248256
83	0.2458439215
84	0.2444707472
85	0.2419810301
86	0.2400971415
87	0.2391007041
88	0.2380539109
89	0.2369654353
90	0.2354538094
91	0.233966043
92	0.2330298504
93	0.232248825
94	0.2307661964
95	0.2291072198
96	0.2281428063
97	0.2263622574
98	0.2252001365
99	0.2238156816
100	0.2228622699
101	0.2220104442
102	0.2205835847
103	0.2192965074
104	0.2181656262
105	0.2169035202
106	0.2160534034
107	0.2145471509
108	0.2139078048
109	0.2123197152
110	0.2111663891
111	0.2106043201
112	0.2094211487
113	0.2081752471
114	0.2074994751
115	0.206691242
116	0.2058068836
117	0.205358173
118	0.2034804087
119	0.2019028887
120	0.2013160554
121	0.2005650325
122	0.1999822057
123	0.1985971622
124	0.1971683843
125	0.1954941366
126	0.1942343351
127	0.1937015231
128	0.1927137351
129	0.1912455147
130	0.1906901126
131	0.1901544675
132	0.1891356149
133	0.1876948058
134	0.1862172384
135	0.1856763169
136	0.1846202558
137	0.1836916156
138	0.1815531613
139	0.1812362516
140	0.1809853535
141	0.1804673061
142	0.1792200108
143	0.1785537934
144	0.1775496962
145	0.1768957922
146	0.1767024372
147	0.1761808711
148	0.1752804322
149	0.1745705137
150	0.1742577464
151	0.1735637809
152	0.1727636006
153	0.1724395416
154	0.1717469842
155	0.1705837001
156	0.170317946
157	0.169808226
158	0.1694523442
159	0.1686457351
160	0.1673767576
161	0.1667454002
162	0.1662758768
163	0.165878529
164	0.1651278722
165	0.16424113
166	0.1636855938
167	0.1628745224
168	0.1621564361
169	0.1614395401
170	0.1607308845
171	0.1602166652
172	0.1596855989
173	0.1586507319
174	0.1581746591
175	0.1572429914
176	0.1563306546
177	0.1554789971
178	0.1553201242
179	0.1548882176
180	0.1542465252
