iter	Passed	Remaining
0	31	15671
1	48	12109
2	83	13879
3	114	14213
4	138	13721
5	171	14103
6	205	14445
7	229	14141
8	264	14421
9	287	14067
10	309	13780
11	338	13784
12	350	13146
13	385	13395
14	421	13612
15	457	13830
16	491	13971
17	527	14134
18	556	14099
19	593	14233
20	620	14147
21	644	13995
22	683	14180
23	718	14242
24	736	13994
25	769	14036
26	804	14085
27	840	14161
28	877	14248
29	914	14320
30	951	14390
31	986	14424
32	1022	14465
33	1057	14496
34	1092	14512
35	1127	14537
36	1164	14571
37	1198	14571
38	1234	14597
39	1268	14588
40	1303	14595
41	1340	14615
42	1375	14622
43	1411	14625
44	1447	14635
45	1482	14629
46	1522	14674
47	1559	14683
48	1595	14682
49	1631	14680
50	1666	14676
51	1702	14666
52	1737	14654
53	1774	14658
54	1809	14637
55	1845	14629
56	1879	14610
57	1916	14604
58	1952	14594
59	1987	14573
60	2023	14560
61	2059	14546
62	2093	14522
63	2129	14509
64	2165	14489
65	2200	14470
66	2235	14450
67	2273	14442
68	2308	14418
69	2343	14397
70	2378	14371
71	2414	14351
72	2449	14329
73	2484	14301
74	2520	14284
75	2561	14288
76	2598	14275
77	2636	14263
78	2670	14233
79	2705	14205
80	2741	14183
81	2776	14153
82	2811	14122
83	2846	14095
84	2884	14081
85	2921	14062
86	2956	14036
87	2993	14015
88	3028	13983
89	3064	13959
90	3100	13933
91	3136	13909
92	3171	13879
93	3207	13852
94	3242	13823
95	3276	13790
96	3312	13762
97	3348	13735
98	3382	13700
99	3417	13669
100	3453	13641
101	3488	13611
102	3522	13578
103	3563	13566
104	3598	13535
105	3633	13505
106	3669	13479
107	3704	13444
108	3738	13411
109	3775	13384
110	3810	13354
111	3847	13328
112	3882	13295
113	3918	13267
114	3955	13241
115	3990	13208
116	4025	13177
117	4061	13148
118	4097	13119
119	4134	13092
120	4168	13057
121	4203	13022
122	4237	12989
123	4275	12963
124	4310	12931
125	4346	12900
126	4380	12866
127	4417	12838
128	4452	12803
129	4485	12766
130	4520	12733
131	4556	12703
132	4591	12668
133	4627	12638
134	4664	12610
135	4699	12577
136	4734	12543
137	4770	12513
138	4805	12479
139	4839	12445
140	4875	12414
141	4914	12388
142	4949	12356
143	4984	12323
144	5019	12289
145	5055	12258
146	5089	12221
147	5125	12189
148	5159	12154
149	5194	12120
150	5228	12084
151	5263	12050
152	5297	12014
153	5332	11981
154	5365	11943
155	5400	11908
156	5434	11871
157	5471	11842
158	5505	11807
159	5542	11778
160	5577	11743
161	5614	11713
162	5652	11686
163	5691	11659
164	5732	11637
165	5771	11612
166	5808	11582
167	5846	11553
168	5884	11524
169	5923	11498
170	5964	11475
171	6003	11448
172	6043	11424
173	6081	11393
174	6118	11363
175	6157	11334
176	6191	11299
177	6226	11263
178	6261	11229
179	6295	11192
180	6334	11164
181	6372	11135
182	6408	11100
183	6444	11068
184	6478	11031
185	6512	10994
186	6548	10961
187	6584	10927
188	6620	10894
189	6657	10862
190	6695	10831
191	6733	10801
192	6770	10770
193	6809	10740
194	6848	10712
195	6887	10682
196	6928	10655
197	6966	10626
198	7003	10593
199	7041	10562
200	7078	10529
201	7114	10495
202	7163	10479
203	7199	10445
204	7241	10420
205	7278	10387
206	7315	10354
207	7357	10328
208	7399	10302
209	7438	10272
210	7479	10244
211	7518	10213
212	7555	10180
213	7605	10163
214	7643	10131
215	7680	10098
216	7716	10064
217	7759	10037
218	7799	10007
219	7838	9975
220	7880	9948
221	7920	9918
222	7961	9889
223	7999	9856
224	8037	9823
225	8075	9790
226	8112	9756
227	8165	9741
228	8201	9705
229	8235	9667
230	8280	9642
231	8324	9615
232	8367	9589
233	8407	9557
234	8447	9525
235	8485	9491
236	8523	9458
237	8560	9423
238	8595	9386
239	8630	9349
240	8665	9313
241	8699	9275
242	8740	9244
243	8780	9212
244	8818	9178
245	8857	9145
246	8895	9111
247	8934	9078
248	8969	9041
249	9003	9003
250	9040	8968
251	9076	8932
252	9112	8896
253	9148	8860
254	9183	8823
255	9221	8789
256	9259	8755
257	9296	8720
258	9333	8684
259	9375	8654
260	9412	8619
261	9450	8585
262	9488	8550
263	9524	8514
264	9560	8477
265	9593	8439
266	9631	8404
267	9669	8371
268	9707	8336
269	9745	8301
270	9783	8267
271	9819	8231
272	9856	8195
273	9891	8158
274	9927	8122
275	9965	8088
276	10003	8053
277	10040	8017
278	10074	7980
279	10110	7943
280	10149	7910
281	10187	7875
282	10225	7840
283	10262	7804
284	10296	7767
285	10330	7729
286	10367	7694
287	10405	7659
288	10444	7625
289	10479	7588
290	10515	7552
291	10559	7521
292	10601	7489
293	10642	7456
294	10680	7422
295	10718	7386
296	10760	7354
297	10796	7318
298	10833	7282
299	10872	7248
300	10912	7214
301	10955	7182
302	10994	7148
303	11033	7113
304	11072	7079
305	11112	7044
306	11151	7010
307	11190	6976
308	11229	6941
309	11266	6905
310	11301	6868
311	11336	6830
312	11372	6794
313	11407	6757
314	11440	6719
315	11476	6682
316	11511	6645
317	11546	6608
318	11583	6572
319	11618	6535
320	11654	6499
321	11691	6462
322	11729	6427
323	11767	6392
324	11804	6356
325	11842	6321
326	11884	6287
327	11932	6257
328	11971	6222
329	12007	6185
330	12044	6149
331	12081	6113
332	12118	6077
333	12156	6041
334	12191	6004
335	12227	5968
336	12265	5932
337	12302	5896
